Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-02-25 04:00:00+00:00,86141342,"AMERICAN STRATEGY: @MarthaRaddatz reports from Lviv, Ukraine after a Russian invasion on the country with a show of force by the U.S. and NATO allies. https://t.co/N6PX4MAjBa https://t.co/35DzYVv4uP",60,16,24,en
2022-02-25 13:56:36+00:00,86141342,"BREAKING: Pres. Biden is expected to nominate Judge Ketanji Brown Jackson for the Supreme Court, elevating an African American woman for the first time to a seat on the high court bench, @ABC News has learned. https://t.co/Am5NDw0cHx",56,4,13,en
2022-02-25 14:10:07+00:00,86141342,"United Nations High Commissioner for Refugees estimates some 100,000 Ukrainians have already been forced from their homes due to the ongoing Russian invasion, spokesperson tells ABC News. https://t.co/OLRcYpusji https://t.co/6Fhx4ju2Dr",16,2,11,en
2022-02-25 14:45:14+00:00,86141342,The House Oversight and Reform Committee expands its investigation into former Pres. Trump’s handling of White House records. https://t.co/3bk9mulGok,68,10,17,en
2022-02-25 15:14:57+00:00,86141342,"In the port city of Mariupol, a young girl named Vlada was new to war and already wished for it to stop.

“I don’t want to die,” she said. “I want all of this to end as soon as possible.” https://t.co/q0aibRWLEp",40,3,14,en
2022-02-25 15:29:36+00:00,86141342,UKRAINE-RUSSIA LATEST: https://t.co/pziNwDfLL2 https://t.co/KBNoHdMocD,35,1,19,en
2022-02-25 15:58:40+00:00,86141342,"Sally Kellerman, Oscar and Emmy nominated actor whose career spanned more than 60 years, has died at 84. https://t.co/cNra25p32x",38,4,10,en
2022-02-25 16:27:12+00:00,86141342,Pope Francis has canceled a scheduled Sunday visit to Florence and will not preside over Ash Wednesday commemorations next week because of what the Vatican described as a flareup of “acute” knee pain. https://t.co/GviUI6Mas1,26,5,11,en
2022-02-25 16:32:41+00:00,86141342,NEW: Former Pres. Obama congratulates Judge Ketanji Brown Jackson as Pres. Biden is set to nominate her to the Supreme Court. https://t.co/snRFPumLfp https://t.co/Vao2Oz5Kg9,101,7,21,en
2022-02-25 17:05:29+00:00,86141342,"Some are real, horrifying images of this war. Others had been lurking on the internet for years before Russia launched the largest attack on a European country since World War II. https://t.co/MlpUoPbG1G",18,4,6,en
2022-02-25 17:32:30+00:00,86141342,"LATEST, per senior U.S. official:

- Officials are seeing more signs Russian Pres. Putin isn't interested in diplomatic solution.

- Russian troops are resupplied and planning multiple entrance points into Kyiv that will likely be carried out at once.

https://t.co/n9IqyN83RC",20,5,8,en
2022-02-25 17:49:22+00:00,86141342,"BREAKING: NATO has activated its NATO Response Force, marking the first time the alliance has activated the potentially 40,000-person force for “a deterrence and defence"" role, according to a NATO spokesperson. https://t.co/iRhwknjmaW",260,14,126,en
2022-02-25 17:59:06+00:00,86141342,"NEW: NATO Sec.-Gen. Jens Stoltenberg: ""The world will hold Russian and Belarus accountable for their actions—Russia as the aggressor, Belarus as the enabler."" https://t.co/CZD2inXTzi https://t.co/YCKhhj6Bz6",67,5,22,en
2022-02-25 18:00:10+00:00,86141342,JUST IN: A new @ABC News/WaPo poll finds sharp partisan divisions on the impact of a Black woman justice: https://t.co/270p4x1ccN,13,5,4,en
2022-02-25 18:08:51+00:00,86141342,"BREAKING: Some 70% of Americans will be able to remove their masks indoors, including inside schools, under new guidance to be released by the CDC today, two sources tell @ABC News. https://t.co/gYadVppbSl",68,82,26,en
2022-02-25 18:28:34+00:00,86141342,"BREAKING: U.K. Prime Minister Boris Johnson will introduce sanctions against Vladimir Putin and Russian Foreign Minister Sergey Lavrov, on top of the sanctions package announced Thursday, a Downing Street spokesperson says. https://t.co/IRhOb44G4E",70,2,21,en
2022-02-25 18:45:00+00:00,86141342,"Smoke arose from a burning security building in Chernihiv, Ukraine, after reports of shelling. https://t.co/Mzunu6LAA9 https://t.co/q5TNTq4mVc",65,6,21,en
2022-02-25 18:52:49+00:00,86141342,"Prince Harry, Meghan to receive NAACP President's Award. https://t.co/ThTsrexppl",42,7,9,en
2022-02-25 19:04:13+00:00,86141342,"JUST IN: The House Jan. 6 committee on Friday interviewed Kimberly Guilfoyle, the fiancé of Donald Trump Jr. and a GOP operative and fundraiser. https://t.co/EKhDKYMq9W",28,6,11,en
2022-02-25 19:24:14+00:00,86141342,Why the U.S. may not be able to drop COVID restrictions like the U.K.: https://t.co/0Edrff2nII,18,2,5,en
2022-02-25 19:31:03+00:00,86141342,Judge Ketanji Brown Jackson delivers remarks as she is set to become the first Black woman to sit on the high court bench. https://t.co/PYwM6qdld6 https://t.co/wJUtJ1c7O7,58,3,17,en
2022-02-25 19:32:23+00:00,86141342,"Supreme Court nominee Judge Ketanji Brown to her two daughters: “You are the light of my life. Please know that whatever title I may hold or whatever job I may have, I will still be your mom. That will never change.” https://t.co/PYwM6qdld6 https://t.co/xsK338m9fn",60,4,15,en
2022-02-25 20:00:15+00:00,86141342,What to know about economic sanctions and how they will affect Russia. https://t.co/YMHzAXTj82,23,3,11,en
2022-02-25 20:00:19+00:00,86141342,"Eiffel Tower lit in the colors of Ukraine in solidarity amid Russia's invasion. 

LIVE UPDATES: https://t.co/q0DZcmD6t0 https://t.co/CpGdklgH0c",492,21,86,en
2022-02-25 20:22:26+00:00,86141342,"Drugmaker Johnson &amp; Johnson and three major distributors finalize nationwide settlements over their role in opioid addiction crisis, an announcement that clears the way for $26 billion to flow to nearly every state and local government in the U.S. https://t.co/1G6t3McbhQ",21,5,11,en
