Year,Month,Trade Type,Consignment,Statistics,Value,Unit
"2020","Dec","Imports","MALDIVES","Value (Year-to-date)","40","HK$ Mn"
"2020","Dec","Imports","MALI","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MALI","Value (Year-to-date)","4","HK$ Mn"
"2020","Dec","Imports","MALTA","Value (Monthly)","161","HK$ Mn"
"2020","Dec","Imports","MALTA","Value (Year-to-date)","1,788","HK$ Mn"
"2020","Dec","Imports","MARSHALL ISLANDS","Value (Monthly)","-",""
"2020","Dec","Imports","MARSHALL ISLANDS","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MAURITANIA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MAURITANIA","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","MAURITIUS","Value (Monthly)","1","HK$ Mn"
"2020","Dec","Imports","MAURITIUS","Value (Year-to-date)","26","HK$ Mn"
"2020","Dec","Imports","MEXICO","Value (Monthly)","481","HK$ Mn"
"2020","Dec","Imports","MEXICO","Value (Year-to-date)","8,516","HK$ Mn"
"2020","Dec","Imports","MICRONESIA FS & PALAU","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MICRONESIA FS & PALAU","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MIDDLE EAST, NESOI","Value (Monthly)","-",""
"2020","Dec","Imports","MIDDLE EAST, NESOI","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MOLDOVA, REPUBLIC OF","Value (Monthly)","-",""
"2020","Dec","Imports","MOLDOVA, REPUBLIC OF","Value (Year-to-date)","4","HK$ Mn"
"2020","Dec","Imports","MONGOLIA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MONGOLIA","Value (Year-to-date)","2","HK$ Mn"
"2020","Dec","Imports","MONTENEGRO","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MONTENEGRO","Value (Year-to-date)","3","HK$ Mn"
"2020","Dec","Imports","MOROCCO","Value (Monthly)","84","HK$ Mn"
"2020","Dec","Imports","MOROCCO","Value (Year-to-date)","846","HK$ Mn"
"2020","Dec","Imports","MOZAMBIQUE","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","MOZAMBIQUE","Value (Year-to-date)","80","HK$ Mn"
"2020","Dec","Imports","MYANMAR","Value (Monthly)","50","HK$ Mn"
"2020","Dec","Imports","MYANMAR","Value (Year-to-date)","686","HK$ Mn"
"2020","Dec","Imports","NAMIBIA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Imports","NAMIBIA","Value (Year-to-date)","104","HK$ Mn"
"2020","Dec","Imports","NAURU","Value (Monthly)","-",""
"2020","Dec","Imports","NAURU","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","NEPAL","Value (Monthly)","2","HK$ Mn"
"2020","Dec","Imports","NEPAL","Value (Year-to-date)","17","HK$ Mn"
"2020","Dec","Imports","NETHERLANDS","Value (Monthly)","1,389","HK$ Mn"
"2020","Dec","Imports","NETHERLANDS","Value (Year-to-date)","15,796","HK$ Mn"
"2020","Dec","Imports","NEW ZEALAND","Value (Monthly)","220","HK$ Mn"
"2020","Dec","Imports","NEW ZEALAND","Value (Year-to-date)","4,813","HK$ Mn"
"2020","Dec","Imports","NICARAGUA","Value (Monthly)","5","HK$ Mn"
"2020","Dec","Imports","NICARAGUA","Value (Year-to-date)","111","HK$ Mn"
"2020","Dec","Imports","NIGER","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","NIGER","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","NIGERIA","Value (Monthly)","4","HK$ Mn"
"2020","Dec","Imports","NIGERIA","Value (Year-to-date)","97","HK$ Mn"
"2020","Dec","Imports","NORTH AMERICA, NESOI","Value (Monthly)","-",""
"2020","Dec","Imports","NORTH AMERICA, NESOI","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","NORTH MACEDONIA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Imports","NORTH MACEDONIA","Value (Year-to-date)","11","HK$ Mn"
"2020","Dec","Imports","NORTHERN MARIANA IS","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","NORTHERN MARIANA IS","Value (Year-to-date)","46","HK$ Mn"
"2020","Dec","Imports","NORWAY","Value (Monthly)","90","HK$ Mn"
"2020","Dec","Imports","NORWAY","Value (Year-to-date)","1,136","HK$ Mn"
"2020","Dec","Imports","OMAN","Value (Monthly)","37","HK$ Mn"
"2020","Dec","Imports","OMAN","Value (Year-to-date)","819","HK$ Mn"
"2020","Dec","Imports","PAKISTAN","Value (Monthly)","47","HK$ Mn"
"2020","Dec","Imports","PAKISTAN","Value (Year-to-date)","425","HK$ Mn"
"2020","Dec","Imports","PANAMA","Value (Monthly)","18","HK$ Mn"
"2020","Dec","Imports","PANAMA","Value (Year-to-date)","174","HK$ Mn"
"2020","Dec","Imports","PAPUA NEW GUINEA","Value (Monthly)","51","HK$ Mn"
"2020","Dec","Imports","PAPUA NEW GUINEA","Value (Year-to-date)","347","HK$ Mn"
"2020","Dec","Imports","PARAGUAY","Value (Monthly)","10","HK$ Mn"
"2020","Dec","Imports","PARAGUAY","Value (Year-to-date)","142","HK$ Mn"
"2020","Dec","Imports","PERU","Value (Monthly)","153","HK$ Mn"
"2020","Dec","Imports","PERU","Value (Year-to-date)","1,399","HK$ Mn"
"2020","Dec","Imports","PHILIPPINES","Value (Monthly)","6,444","HK$ Mn"
"2020","Dec","Imports","PHILIPPINES","Value (Year-to-date)","70,094","HK$ Mn"
"2020","Dec","Imports","POLAND","Value (Monthly)","262","HK$ Mn"
"2020","Dec","Imports","POLAND","Value (Year-to-date)","2,170","HK$ Mn"
"2020","Dec","Imports","PORTUGAL","Value (Monthly)","120","HK$ Mn"
"2020","Dec","Imports","PORTUGAL","Value (Year-to-date)","836","HK$ Mn"
"2020","Dec","Imports","POSTAL PACKAGES","Value (Monthly)","73","HK$ Mn"
"2020","Dec","Imports","POSTAL PACKAGES","Value (Year-to-date)","629","HK$ Mn"
"2020","Dec","Imports","PUERTO RICO","Value (Monthly)","23","HK$ Mn"
