Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-02-26 22:35:13+00:00,1903712426,"The contacts between Russia and the European Union have not officially stopped, Russian Foreign Ministry Spokeswoman Maria Zakharova said on the YouTube channel Soloviev Live:
https://t.co/FSmPwDmpBO https://t.co/WqJtNE5wAa",55,32,22,en
2022-02-27 00:30:37+00:00,1903712426,"EU countries to close their airspace for Russian planes. The ARD channel did not specify when the ban will be imposed: 
https://t.co/KdBEtyFU1k https://t.co/mYN4ngUD8j",30,10,14,en
2022-02-27 01:00:20+00:00,1903712426,"Western nations agree to disconnect Russian banks from SWIFT. The United Kingdom, Germany, Italy, Canada, the United States, France and the European Commission agreed to impose new ""tough financial sanctions"" on Russia: 
https://t.co/G4piOHvhX7 https://t.co/YvvQJlVDts",27,27,15,en
2022-02-27 05:05:12+00:00,1903712426,"France is set to toughen economic sanctions against Russia and increase its supplies of military equipment to Ukraine, Agence France-Presse reported, citing a statement of the presidential administration:
https://t.co/860suOMmZI https://t.co/Wggu6HyBZL",36,18,19,en
2022-02-27 08:27:59+00:00,1903712426,"Russia’s delegation has arrived in Belarus for talks with the Ukrainian side, Kremlin Spokesman Dmitry Peskov said:
https://t.co/Re8t7hqolG https://t.co/wxhVrIOALY",100,51,49,en
2022-02-27 12:30:58+00:00,1903712426,"Russia’s COVID-19 case tally rose by 116,093, a new low since January 29, over the past day to 16,291,116, the anti-coronavirus crisis center reported on Sunday:
https://t.co/zNtTA0umls https://t.co/0JgnkRY3RR",10,6,6,en
2022-02-27 13:00:50+00:00,1903712426,"Google has decided to ban Russia’s state media from receiving money for ads, the Reuters news agency said on Sunday:
https://t.co/aBsHbMQ4cr https://t.co/knpSZTxfjG",48,13,22,en
2022-02-27 16:06:52+00:00,1903712426,"Putin orders ""special service regime"" in Russia’s deterrence force:
https://t.co/2yBM5tX9Bw https://t.co/MTythTjgeI",83,37,36,en
2022-02-27 21:35:33+00:00,1903712426,"Talks between the Russian and Ukrainian delegations will begin in the morning on 28th of February, a source told TASS:
https://t.co/L9BFMjwDs9 https://t.co/Q8QoDKD0eS",157,24,99,en
2022-02-28 04:37:51+00:00,1903712426,"The European Union has closed its airspace to Russia due to the situation in Ukraine, according to a document published in the Official Journal of the European Union:
https://t.co/fHyjNp69K2 https://t.co/glsl65H5YQ",32,16,17,en
2022-02-28 09:17:36+00:00,1903712426,"Moscow-Kiev talks to begin at 12:00 Moscow time — envoy:
https://t.co/y4YikyhzzK https://t.co/z5jBvwaDqF",45,5,25,en
2022-02-28 09:57:42+00:00,1903712426,"Kiev delegation arrives at Belarusian border to negotiate with Russia — president’s office: 
https://t.co/D6htWbqMvI",30,15,17,en
2022-02-28 10:30:17+00:00,1903712426,"Bank of Russia increases key rate by 10.5 pp to 20%:
https://t.co/rpUbNiPQzA https://t.co/zb0AFqPpBk",22,11,16,en
2022-02-28 11:00:40+00:00,1903712426,"Russia’s COVID-19 case tally rises by almost 107,000 — crisis center:
https://t.co/7hLXBfu616 https://t.co/PXuHKxYETw",12,15,6,en
2022-02-28 12:00:43+00:00,1903712426,"Press review: Why Putin put nuke forces on high alert and liberation of Donbass continues:
https://t.co/W2ElS7goOa https://t.co/Yrk62tyKeg",72,49,34,en
2022-02-28 14:30:02+00:00,1903712426,"Georgian PM says opposition wants to drag Tbilisi into war with Russia:
https://t.co/SGx8uEcZ7a https://t.co/b3yMuW6vAU",25,5,16,en
2022-02-28 14:45:43+00:00,1903712426,"Russia doesn’t plan to recall ambassadors from European countries — diplomat:
https://t.co/j1nECrF8pv https://t.co/kI3MPdDUaj",16,10,12,en
2022-02-28 15:00:48+00:00,1903712426,"Chinese Foreign Ministry calls for return to dialogue for political settlement in Ukraine:
https://t.co/kFL7Xt9liq https://t.co/8UI6mbRlb8",34,6,22,en
2022-02-28 16:00:54+00:00,1903712426,"The US hegemonic policy and Western countries’ disregard for Russia’s legitimate security interests are the root cause of the situation in Ukraine, North Korea’s Foreign Ministry said:
https://t.co/TXtN16GHYc https://t.co/rw293OwHUz",66,25,27,en
2022-02-28 16:30:52+00:00,1903712426,"Russian Foreign Ministry Spokeswoman Maria Zakharova expressed confidence on Monday that experiments of NATO and Western public’s staying mum on the situation in Donbass resulted in a humanitarian and political disaster in Europe:
https://t.co/3lOxN5qPsl https://t.co/zT2v81g8qM",59,31,30,en
2022-02-28 16:52:26+00:00,1903712426,"Russia-Ukraine negotiations are over, says source: 
https://t.co/iuIWbe1qSe https://t.co/LjorOArKZd",30,11,28,en
2022-02-28 17:00:59+00:00,1903712426,"Russian diplomat blames NATO’s actions, West’s silence on Donbass for disaster in Europe: 
https://t.co/ZhJfVjXNYi https://t.co/G85CtLIeBI",77,66,43,en
2022-02-28 18:00:41+00:00,1903712426,"Macron talks to Putin, calls for ceasefire in Ukraine — Elysee Palace: 
https://t.co/giFPTJJ0pl https://t.co/BNvjsZCZL6",27,19,15,en
2022-02-28 23:35:10+00:00,1903712426,"EU blacklists 26 Russians, including Kremlin spokesman Peskov, and one company:
https://t.co/NwKHPvPwXD https://t.co/IRSVZi0bPp",21,17,13,en
2022-03-01 08:00:33+00:00,1903712426,"Kazakh leader urges Russia and Ukraine to reach understanding, ready to mediate. According to Kassym-Jomart Tokayev, Kazakhstan insists on the principle of the indivisibility of Eurasian security:
https://t.co/TtoDblcrbL https://t.co/zBvJ2z36Zp",34,7,14,en
2022-03-01 09:00:39+00:00,1903712426,"China welcomes beginning of talks between Russia, Ukraine, Foreign Ministry says:
https://t.co/lpBWZ5oRGj https://t.co/X0tn1Urixw",33,8,16,en
2022-03-01 10:00:18+00:00,1903712426,"EU to launch all-out economic war against Russia, says French finance minister. According to the French finance minister, the sanctions imposed by the West against Russia are ""extremely effective"":
https://t.co/kzYK3HQtaA https://t.co/vtdqZY7rbB",18,14,15,en
2022-03-01 11:00:19+00:00,1903712426,"Press review: What the Russian, Ukrainian delegations agreed on and Moldova rejects NATO. Top stories from the Russian press on Tuesday, March 1st:
https://t.co/9hWAoQCJT0 https://t.co/TKw6HWDdfM",26,9,15,en
2022-03-01 11:00:45+00:00,1903712426,"Google blocks YouTube channels connected to RT, Sputnik across Europe:
https://t.co/c4c0R9EHoF

© NiP STUDIO/Shutterstock/Fotodom https://t.co/iB7YaWFBH5",11,6,6,en
